"LCNumber","FolderName","RelativePath"
"1087","LC1087_Brace_Expansion","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC1087_Brace_Expansion/29.12.2025_15.39.54_REC.mp4"
"131","LC131_Palindrome_Partitioning","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC131_Palindrome_Partitioning/29.12.2025_13.23.33_REC.mp4"
"140","LC140_Word_Break_II","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC140_Word_Break_II/29.12.2025_13.35.30_REC.mp4"
"17","LC17_Letter_Combinations_of_a_Phone_Number","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC17_Letter_Combinations_of_a_Phone_Number/20.12.2025_11.52.18_REC.mp4"
"216","LC216_Combination_Sum_III","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC216_Combination_Sum_III/29.12.2025_13.43.23_REC.mp4"
"22","LC22_Generate_Parentheses","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC22_Generate_Parentheses/23.12.2025_21.34.09_REC.mp4"
"282","LC282_Expression_Add_Operators","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC282_Expression_Add_Operators/29.12.2025_13.53.55_REC.mp4"
"37","LC37_Sudoku_Solver","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC37_Sudoku_Solver/29.12.2025_10.42.46_REC.mp4"
"39","LC39_Combination_Sum","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC39_Combination_Sum/23.12.2025_21.47.01_REC.mp4"
"401","LC401_Binary_Watch","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC401_Binary_Watch/29.12.2025_14.02.54_REC.mp4"
"40","LC40_Combination_Sum_II","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC40_Combination_Sum_II/23.12.2025_22.03.08_REC.mp4"
"46","LC46_Permutations","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC46_Permutations/21.12.2025_12.01.09_REC.mp4"
"46","LC46_Permutations","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC46_Permutations/30.12.2025_10.11.17_REC.mp4"
"473","LC473_Matchsticks_to_Square","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC473_Matchsticks_to_Square/29.12.2025_14.14.41_REC.mp4"
"47","LC47_Permutations_II","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC47_Permutations_II/30.12.2025_11.53.49_REC.mp4"
"491","LC491_Non_decreasing_Subsequences","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC491_Non_decreasing_Subsequences/29.12.2025_14.22.51_REC.mp4"
"51","LC51_N_Queens","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC51_N_Queens/20.12.2025_12.25.46_REC.mp4"
"526","LC526_Beautiful_Arrangement","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC526_Beautiful_Arrangement/29.12.2025_14.34.49_REC.mp4"
"52","LC52_N_Queens_II","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC52_N_Queens_II/20.12.2025_12.42.01_REC.mp4"
"698","LC698_Partition_to_K_Equal_Sum_Subsets","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC698_Partition_to_K_Equal_Sum_Subsets/29.12.2025_14.40.46_REC.mp4"
"77","LC77_Combinations","LeetCodePatternsVisualCombo/Backtracking/leetcode_backtracking_java_25/LC77_Combinations/29.12.2025_11.21.04_REC.mp4"
